cite,link,group,Publication Year
"Eich, B., Rakusen, L., Lago, M., Mello-Thoms, C., & Adamo, S. (2026). Comparing the subsequent search miss effect between mammography and tomosynthesis. Medical Imaging 2026: Image Perception, Observer Performance, and Technology Assessment, 13928, 138–145.",,ADAMO Lab,2026
"Rakusen, L., Eich, B., & Adamo, S. (2025). Dig a Little Deeper: Comparing 2D to 3D Search Performance When Looking for Multiple Breast Cancers [Abstract]. Journal of Vision, 25(9), 2866. https://doi.org/10.1167/jov.25.9.2866",https://doi.org/10.1167/jov.25.9.2866,ADAMO Lab,2025
"Kyle-Davidson, C., Rakusen, L. L., Raat, E., Bradley, R., & Evans, K. K. (2023). Signals of global symmetry are important for abnormality detection in mammograms. Journal of Medical Imaging, 10(S1), S11912–S11912. https://doi.org/10.1117/1.jmi.10.s1.s11912",https://doi.org/10.1117/1.jmi.10.s1.s11912,CCPL,2023
"Mepham, A., Knight, S., McGarrigle, R., Rakusen, L., & Mattys, S. (2025). Pupillometry Reveals the Role of Signal-to-Noise Ratio in Adaption to Linguistic Interference Over Time. Journal of Speech, Language, and Hearing Research, 68(5), 2291–2317. https://doi.org/10.1044/2025_JSLHR-24-00658",https://doi.org/10.1044/2025_JSLHR-24-00658,Speechlab,2025
"McGarrigle, R., Knight, S., Rakusen, L., & Mattys, S. (2024). Mood shapes the impact of reward on perceived fatigue from listening. Quarterly Journal of Experimental Psychology, 77(12), 2463–2475. https://doi.org/10.1177/17470218241242260",https://doi.org/10.1177/17470218241242260,Speechlab,2024
"Knight, S., Rakusen, L., & Mattys, S. (2023). Conceptualising acoustic and cognitive contributions to divided-attention listening within a data-limit versus resource-limit framework. Journal of Memory and Language, 131, 104427. https://doi.org/10.1016/j.jml.2023.104427",https://doi.org/10.1016/j.jml.2023.104427,Speechlab,2023
"McGarrigle, R., Knight, S., Rakusen, L., Geller, J., & Mattys, S. (2021). Older adults show a more sustained pattern of effortful listening than young adults. Psychology and Aging, 36(4), 504–519. (2021-46841-001). https://doi.org/10.1037/pag0000587",https://doi.org/10.1037/pag0000587,Speechlab,2021
"McGarrigle, R., Rakusen, L., & Mattys, S. (2021). Effortful listening under the microscope: Examining relations between pupillometric and subjective markers of effort and tiredness from listening. Psychophysiology, 58(1), e13703. https://doi.org/10.1111/psyp.13703",https://doi.org/10.1111/psyp.13703,Speechlab,2021
"Chiu, F., Rakusen, L. L., & Mattys, S. L. (2020). Phonetic categorization and discrimination of voice onset time under divided attention. The Journal of the Acoustical Society of America, 147(6), EL484–EL490. https://doi.org/10.1121/10.0001374",https://doi.org/10.1121/10.0001374,Speechlab,2020
"Chiu, F., Rakusen, L. L., & Mattys, S. L. (2019). Cognitive load elevates discrimination thresholds of duration, intensity, and f for a synthesized vowel. The Journal of the Acoustical Society of America, 146(2), 1077–1084. https://doi.org/10.1121/1.5120404",https://doi.org/10.1121/1.5120404,Speechlab,2019
